subject,session,trial,serialpos,word,recalled,embedding_fidelity
LTP269,20,3,1,ROCKET,1,0.8893610738092097
LTP269,20,3,2,DOLPHIN,1,0.8425470776559046
LTP269,20,3,3,FLIPPER,1,0.8440455312394156
LTP269,20,3,4,GYMNAST,1,0.8589025158038305
LTP269,20,3,5,MEDAL,1,0.8463731488238049
LTP269,20,3,6,LEADER,1,0.8128629843998648
LTP269,20,3,7,SPACE,1,0.7839947549845309
LTP269,20,3,8,VENUS,1,0.8069108396396704
LTP269,20,3,9,HIGHWAY,1,0.7917684935678714
LTP269,20,3,10,SWAMP,1,0.7744654752111275
LTP269,20,3,11,POCKET,1,0.8647364451458648
LTP269,20,3,12,SEAFOOD,0,0.8714397415640646
LTP269,20,3,13,FLASK,1,0.8755921070315749
LTP269,20,3,14,PACKAGE,0,0.8480269820849115
LTP269,20,3,15,SPOON,0,0.8733467728658789
LTP269,20,3,16,RIFLE,0,0.8454569524293242
LTP269,20,3,17,MAPLE,1,0.785387559821867
LTP269,20,3,18,SNACK,1,0.870093006860587
LTP269,20,3,19,CLOCK,0,0.8412773092699218
LTP269,20,3,20,GARLIC,1,0.8478561661238869
LTP269,20,3,21,SALT,1,0.8577525808846551
LTP269,20,3,22,STONE,1,0.8455590476130246
LTP269,20,3,23,GANGSTER,1,0.8531903578833406
LTP269,20,3,24,SPOOL,1,0.8759317608081186
LTP269,20,4,1,ROBIN,1,0.8267000700703667
LTP269,20,4,2,ROOSTER,1,0.8739351345124138
LTP269,20,4,3,HAMPER,1,0.8776533096832683
LTP269,20,4,4,BUREAU,1,0.848105687918719
LTP269,20,4,5,EUROPE,1,0.7833553902517589
LTP269,20,4,6,MAILMAN,1,0.8861671479145466
LTP269,20,4,7,IGLOO,1,0.8325409924052722
LTP269,20,4,8,ICEBERG,1,0.8876821069060316
LTP269,20,4,9,BLACKBOARD,0,0.8364275966576795
LTP269,20,4,10,NECKLACE,0,0.8920751078665803
LTP269,20,4,11,TORTOISE,0,0.8903208672194983
LTP269,20,4,12,NAPKIN,0,0.8308470585055893
LTP269,20,4,13,ORANGE,0,0.8496063141778493
LTP269,20,4,14,PLIERS,0,0.8613938080324709
LTP269,20,4,15,EYELASH,0,0.8457708881993666
LTP269,20,4,16,SUBWAY,0,0.8813924331838893
LTP269,20,4,17,SPARROW,0,0.831588083790476
LTP269,20,4,18,DONOR,0,0.8315675817960846
LTP269,20,4,19,FOREST,0,0.8167333745173235
LTP269,20,4,20,BANQUET,1,0.8804665441123555
LTP269,20,4,21,SLUG,1,0.8572715800551126
LTP269,20,4,22,FRUIT,1,0.8361139765390763
LTP269,20,4,23,VALVE,1,0.8641682144160691
LTP269,20,4,24,ZEBRA,0,0.8746059703804694
LTP269,20,5,1,GRAVEL,0,0.7638146325432712
