onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
553.55	n/a	PROB	276775	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	12	8	1	3
555.136	n/a	PROB	277568	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	24	8	8	8
556.154	n/a	PROB	278077	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	21	5	7	9
557.62	n/a	PROB	278810	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	14	5	5	4
558.654	n/a	PROB	279327	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	19	8	3	8
559.99	n/a	PROB	279995	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	14	5	3	6
561.508	n/a	PROB	280754	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	7	4	1	2
562.642	n/a	PROB	281321	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	23	7	7	9
563.626	n/a	PROB	281813	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	7	3	3	1
564.744	n/a	PROB	282372	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	17	9	5	3
566.778	n/a	PROB	283389	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	14	6	4	4
568.048	n/a	PROB	284024	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	10	2	5	3
569.132	n/a	PROB	284566	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	9	1	6	2
570.766	n/a	PROB	285383	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	11	7	1	3
571.792	n/a	STOP	285896	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	3	n/a	n/a	n/a	n/a
574.42	n/a	REC_START	287210	n/a	LTP293	ltpFR2	5	2	n/a	n/a	n/a	n/a	0	0	0
575.052	n/a	REC_WORD	287526	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	TYPIST	1532	n/a	n/a	0	0	0
576.132	n/a	REC_WORD	288066	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	OFFICE	972	n/a	n/a	0	0	0
577.35	n/a	REC_WORD	288675	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	SHRUB	1299	n/a	n/a	0	0	0
578.552	n/a	REC_WORD	289276	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	AIRPLANE	12	n/a	n/a	0	0	0
579.792	n/a	REC_WORD	289896	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	AIRPORT	13	n/a	n/a	0	0	0
581.21	n/a	REC_WORD	290605	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	TABLE	1426	n/a	n/a	0	0	0
582.444	n/a	REC_WORD	291222	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	STAKE	1368	n/a	n/a	0	0	0
583.92	n/a	REC_WORD	291960	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	COUCH	386	n/a	n/a	0	0	0
585.21	n/a	REC_WORD	292605	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	DAUGHTER	442	n/a	n/a	0	0	0
586.444	n/a	REC_WORD	293222	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	PLAID	1080	n/a	n/a	0	0	0
587.684	n/a	REC_WORD	293842	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	NIGHTGOWN	953	n/a	n/a	0	0	0
604.234	n/a	REC_WORD	302117	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	DORM	488	n/a	n/a	0	0	0
613.07	n/a	REC_WORD	306535	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	COWBOY	395	n/a	n/a	0	0	0
664.914	n/a	DISTRACTOR	332457	n/a	LTP293	ltpFR2	5	3	n/a	n/a	n/a	n/a	0	0	0
664.914	n/a	START	332457	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	n/a	n/a	n/a	n/a
664.93	n/a	PROB	332465	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	16	9	4	3
666.03	n/a	PROB	333015	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	25	9	9	7
667.432	n/a	PROB	333716	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	18	6	5	7
669.266	n/a	PROB	334633	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	17	4	5	8
670.468	n/a	PROB	335234	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	21	5	7	9
672.686	n/a	PROB	336343	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	16	7	1	8
673.704	n/a	PROB	336852	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	20	3	9	8
675.088	n/a	PROB	337544	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	18	7	7	4
676.222	n/a	PROB	338111	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	15	1	7	7
677.256	n/a	PROB	338628	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	16	3	7	6
678.524	n/a	PROB	339262	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	6	2	2	2
679.542	n/a	PROB	339771	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	19	8	7	4
680.91	n/a	PROB	340455	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	11	3	1	7
682.094	n/a	PROB	341047	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	13	5	4	4
683.996	n/a	PROB	341998	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	19	4	8	7
685.68	n/a	PROB	342840	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	14	8	3	3
688.89	n/a	STOP	344445	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	4	n/a	n/a	n/a	n/a
689.818	n/a	WORD	344909	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	FIDDLE	561	n/a	n/a	0	0	0
692.42	n/a	WORD	346210	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	BATHTUB	100	n/a	n/a	0	0	0
694.972	n/a	WORD	347486	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	TROUT	1511	n/a	n/a	0	0	0
697.774	n/a	WORD	348887	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	CURTAIN	427	n/a	n/a	0	0	0
700.276	n/a	WORD	350138	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	TORTOISE	1486	n/a	n/a	0	0	0
702.728	n/a	WORD	351364	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	STOMACH	1384	n/a	n/a	0	0	0
705.364	n/a	WORD	352682	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	CRICKET	408	n/a	n/a	0	0	0
707.816	n/a	WORD	353908	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	SLUG	1329	n/a	n/a	0	0	0
710.468	n/a	WORD	355234	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	PILOT	1070	n/a	n/a	0	0	0
713.088	n/a	WORD	356544	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	SMOG	1330	n/a	n/a	0	0	0
715.706	n/a	WORD	357853	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	CLOUD	328	n/a	n/a	0	0	0
718.29	n/a	WORD	359145	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	BOUQUET	157	n/a	n/a	0	0	0
721.078	n/a	WORD	360539	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	POPCORN	1104	n/a	n/a	0	0	0
723.63	n/a	WORD	361815	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	CRITIC	410	n/a	n/a	0	0	0
726.414	n/a	WORD	363207	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	MILDEW	893	n/a	n/a	0	0	0
729.018	n/a	WORD	364509	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	SHORTCAKE	1292	n/a	n/a	0	0	0
731.57	n/a	WORD	365785	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	LIVER	833	n/a	n/a	0	0	0
734.322	n/a	WORD	367161	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	3	SLIME	1327	n/a	n/a	0	0	0
