mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
495596	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	SUITCASE	1403	n/a	n/a	0	0	0
498233	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	SCISSORS	1250	n/a	n/a	0	0	0
500768	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	GRAVEL	659	n/a	n/a	0	0	0
503237	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	EMPIRE	530	n/a	n/a	0	0	0
504845	START	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	n/a	n/a	n/a	n/a
505890	DISTRACTOR	n/a	LTP269	ltpFR2	12	3	n/a	n/a	n/a	n/a	0	0	0
505896	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	23	9	9	5
508841	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	21	5	7	9
511292	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	16	3	9	4
513362	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	14	6	5	3
515763	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	13	7	5	1
517197	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	9	7	1	1
518715	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	21	8	8	5
520432	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	22	8	6	8
522384	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	12	9	2	1
523619	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	12	4	7	1
524886	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	6	1	1	4
526621	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	19	9	3	7
527761	STOP	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	4	n/a	n/a	n/a	n/a
530643	REC_START	n/a	LTP269	ltpFR2	12	3	n/a	n/a	n/a	n/a	0	0	0
532777	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	GYMNAST	675	n/a	n/a	0	0	0
533505	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	FOOTBALL	591	n/a	n/a	0	0	0
537342	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	SCISSORS	1250	n/a	n/a	0	0	0
542615	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	RIFLE	1192	n/a	n/a	0	0	0
543361	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	PEBBLE	1035	n/a	n/a	0	0	0
544861	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	VIKING	1565	n/a	n/a	0	0	0
547921	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	BUBBLE	183	n/a	n/a	0	0	0
553210	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	BATHTUB	100	n/a	n/a	0	0	0
555574	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	3	PEACH	1031	n/a	n/a	0	0	0
621081	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	ROBBER	1197	n/a	n/a	0	0	0
623515	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	FRIAR	605	n/a	n/a	0	0	0
626102	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	CROSS	413	n/a	n/a	0	0	0
628786	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	OX	994	n/a	n/a	0	0	0
631455	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	BELLY	119	n/a	n/a	0	0	0
633975	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	EAGLE	512	n/a	n/a	0	0	0
636560	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	STATUE	1374	n/a	n/a	0	0	0
639112	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	SCULPTURE	1258	n/a	n/a	0	0	0
641930	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	WORKER	1621	n/a	n/a	0	0	0
644549	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	BLUEPRINT	142	n/a	n/a	0	0	0
646986	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	MAPLE	866	n/a	n/a	0	0	0
649738	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	SPIDER	1351	n/a	n/a	0	0	0
652490	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	YARN	1631	n/a	n/a	0	0	0
654993	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	MARS	873	n/a	n/a	0	0	0
657460	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	DAISY	435	n/a	n/a	0	0	0
660013	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	PREACHER	1119	n/a	n/a	0	0	0
662647	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	NECKLACE	940	n/a	n/a	0	0	0
665268	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	CARRIAGE	248	n/a	n/a	0	0	0
668087	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	LOFT	840	n/a	n/a	0	0	0
670672	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	WARDROBE	1587	n/a	n/a	0	0	0
673341	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	DENIM	446	n/a	n/a	0	0	0
676160	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	JEANS	752	n/a	n/a	0	0	0
678677	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	STOMACH	1384	n/a	n/a	0	0	0
681363	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	4	CREVICE	405	n/a	n/a	0	0	0
682968	START	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	n/a	n/a	n/a	n/a
684167	DISTRACTOR	n/a	LTP269	ltpFR2	12	4	n/a	n/a	n/a	n/a	0	0	0
684182	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	19	9	4	6
685616	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	5	18	6	8	4
