name	x	y	z
E65	-0.0468268096446991	-0.06738686540922495	0.06776799888467563
E66	-0.035590190440416336	-0.06662615203807773	0.10020361615794712
E67	-0.01678019016981125	-0.05958684711389623	0.1219345811932889
E68	-0.03784491494297981	-0.06585008863492961	0.009097356094307368
E69	-0.034711793065071106	-0.07487125129167851	0.03685939637164279
E70	-0.025919103994965553	-0.08069600646769864	0.07084844808070676
E71	-0.01168246939778328	-0.07387613503571278	0.10284367336115283
E72	0.00318345008417964	-0.06483196438288691	0.11687288059717801
E73	-0.017563704401254654	-0.0766975786519189	0.011981648390887306
E74	-0.008633064106106758	-0.08285017584146073	0.040014445458061404
E75	0.003607438411563635	-0.08354195215939067	0.07396831624931752
E76	0.0184787530452013	-0.07294040896834561	0.10273361212215879
E77	0.022819938138127327	-0.05835841117809499	0.12179014999339785
E78	0.027547435835003853	-0.03552643807220147	0.13845621134435512
E79	0.02604980207979679	-0.011868081390648426	0.14755056862483515
E80	0.02174452319741249	0.017588027357187508	0.14729359755361718
E81	0.0032685641199350357	-0.07961193885038823	0.014484519470648077
E82	0.015533717349171638	-0.08210045996718093	0.039926380072655226
E83	0.03287715092301369	-0.07887202870628329	0.0706340199478552
E84	0.04187122732400894	-0.06422315804365311	0.09992115512992425
E85	0.04677565395832062	-0.04364795579806378	0.12126697361367997
E86	0.04690653458237648	-0.01967581354508153	0.13541946259572954
E87	0.04301212728023529	0.008164915722812319	0.1399561435621742
E88	0.02386130392551422	-0.0754124576900943	0.011830558232861138
E89	0.04104408994317055	-0.07252114093691003	0.03658310563989517
E90	0.05289669707417488	-0.06429316813244298	0.0674043806630101
E91	0.05859421566128731	-0.05086239305762678	0.09646793543340046
E92	0.06465478986501694	-0.027042044167081204	0.11448288793933001
E93	0.06526371091604233	-0.002512995496524416	0.12238701365612961
E94	0.04340960457921028	-0.06332936579809859	0.008801052794414205
E95	0.060592297464609146	-0.053591674227830545	0.03312487905764014
E96	0.0673002079129219	-0.047742533763667806	0.06422748450442081
E97	0.07253104448318481	-0.03194344926182346	0.09126250010568646
E98	0.07388941943645477	-0.012145832137126285	0.10395848858286802
E99	0.05932777374982834	-0.04103855560670001	0.0018298656400823898
E100	0.07250555604696274	-0.030703322013740264	0.028821404401545486
E101	0.07474782317876816	-0.029509305121255346	0.05857649484506175
E102	0.07983846962451935	-0.007067586726098127	0.083798060596566
E103	0.07494549453258514	0.012040987307824144	0.10511536786018472
E104	0.05926200747489929	0.025786409636860578	0.12250272563220366
E105	0.03988067805767059	0.03424104246002916	0.13479140273947376
